Date,MaxT,MinT,AvgT,Tdeparture,HDD,CDD,Precipitation,New Snow,Snow Depth
12/14/2021,55,33,44,12.2,21,0,0.12,0,0
12/15/2021,66,52,59,27.5,6,0,0,0,0
12/16/2021,67,35,51,19.7,14,0,0.01,0,0
12/17/2021,42,28,35,4,30,0,T,0,0
12/18/2021,42,33,37.5,6.8,27,0,0.1,0,0
12/19/2021,40,32,36,5.5,29,0,0,0,0
12/20/2021,45,31,38,7.8,27,0,0,0,0
12/21/2021,44,27,35.5,5.5,29,0,0,0,0
12/22/2021,32,20,26,-3.8,39,0,0,0,0
12/23/2021,47,28,37.5,8,27,0,0,0,0
12/24/2021,58,37,47.5,18.2,17,0,T,0,0
12/25/2021,59,35,47,17.9,18,0,0.07,0,0
12/26/2021,44,30,37,8.1,28,0,0.18,0,0
12/27/2021,48,34,41,12.3,24,0,0.27,0,0
12/28/2021,39,33,36,7.5,29,0,0.27,1.6,1
12/29/2021,39,32,35.5,7.3,29,0,0.02,0.2,T
12/30/2021,39,33,36,7.9,29,0,T,T,T
12/31/2021,46,34,40,12.1,25,0,T,0,T
